Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
lifs3020,Molecular and Cellular Biology II,3 Credit(s),LIFS 2040 AND LIFS 2210 AND LIFS 2220,,,,,,,Cell structure; the molecular biology of cell signaling and cell cycle control; oncogenes and tumor suppressor genes; the mechanism of cell division; cell junctions and adhesion; cytoskeleton; programmed cell death.
lifs3040,Animal Physiology,3 Credit(s),LIFS 2040,,,,,,,Structure and life processes in animals; neurophysiology; circulation; respiration; digestion and absorption; metabolism and energy regulation; muscle and movement; endocrinology.
lifs3060,Microbiology,3 Credit(s),,,LIFS 2040 OR LIFS 2060,,,,,Classification@ identification@ structure@ physiology@ and genetics of microorganisms; importance of microorganisms in health@ environment@ and biotechnology.
lifs3070,Introduction to Biophysical Instrumentation,3 Credit(s),LIFS 2040,,,,,,,The course offers an introduction to principles and applications of a variety of modern biophysical experimental techniques for the structural and functional study of biological systems at the cellular and molecular levels. It is designed for students who seek a basic understanding of modern biophysical experimental methods to meet future challenges in biological science@ synthetic biology@ biotechnology@ bioengineering and molecular medicine.
lifs3110,Biotechnological Application of Recombinant DNA Techniques,3 Credit(s),LIFS 2040 AND LIFS 2210,,,,,,,Practical and theoretical consideration of recombinant DNA techniques@ including plasmid construction@ PCR@ mutagenesis@ transformation@ sequencing@ and bioinformatic analysis. The use of recombinant DNA for protein expression. Graded P or F.
lifs3140,General Genetics,4 Credit(s),LIFS 2040 OR LIFS 2210,,,,,,,Principles and mechanisms of heredity and variation; genetic analysis in pro-and eukaryotic organisms.
lifs3150,Biostatistics,3 Credit(s),,IEDA 2510 (prior to 2018-19)@ ISOM 2500@ MATH 2411,,,,,,Statistical reasoning relevant to biological@ medical and agricultural research@ statistical analyses and interpretation@ statistical techniques applied under various research circumstances.
lifs3220,Animal Physiology Laboratory,3 Credit(s),LIFS 2040,,LIFS 3040,,,,,Physiology is an experimental science and laboratory experience is an important part of the discipline. Students will learn laboratory techniques and develop their powers of observation and data recording to test basic physiological principles. Analytical skill will be emphasized in both the tutorial and lab sessions. Graded P or F.
lifs3240,Introduction to Neurobiology,3 Credit(s),LIFS 2040 OR LIFS 2210,,,,,,,Principles of neuroscience with a focus on the systems/neural circuit level. Topics covered will include sensory and motor systems@ genetic model organisms@ optogenetics@ and functional imaging.
lifs3260,Microbiology Laboratory,3 Credit(s),,,LIFS 3060,,,,,Tutorial and practical instruction on cultivation@ differentiation@ and identification of microorganisms@ determination of microbial numbers@ sterilization@ disinfection@ antimicrobials@ and the prevalence of microorganisms in the body and environment will be covered. Graded P or F.
lifs3370,Human Genetics in Practice,3 Credit(s),LIFS 3110,,,,[EXP] Experiential learning,LIFS 3002A,,This course will impart essential skills for communicating science to a lay audience in the laboratory setting. Students will work in groups to devise a mini‐laboratory course for detecting human genetic variants. They will then serve as instructors of the course in outreach workshops for high school students. Approval of the course instructor is needed for students to enroll in this course. For LIFS students only.
lifs3510,Junior Research Project I,2 Credit(s),LIFS 2040 and LIFS 2240,,,,,,,The objective of the course is to increase awareness of preparation in research and learn how to synthesize a research proposal. Together with the supervisor each student will identify a research question@ do a literature review@ familiarize themselves theoretically with technical aspects of the project and write a short proposal. Approval of a faculty supervisor is required for students to enroll in the course. Graded P or F.
lifs3520,Junior Research Project II,2 Credit(s),LIFS 3510 OR SCIE 3500,,,,,,,The aim of the course is for students to acquire hands-on laboratory experience in conducting a short research project and producing a formal written report. Each student will conduct the bench work for the proposal developed in the prerequisite course LIFS 3510 and hence under the same faculty supervisor as LIFS 3510. Due to the short duration@ emphasis is on appreciation of the research process rather than results obtained. Approval of a faculty supervisor is required for students to enroll in the course. Graded P or F.
lifs3580,Bioinformatics,3 Credit(s),LIFS 3140,,,,,LIFS 4580,,An introduction to bioinformatic analysis in life science. Students will learn about the principles and approaches used in working with genetic@ genomic and proteomic data. Applications to basic science and translational research will also be introduced. No experience in computer programing is required.
lifs4000,Special Topics in Life Science,1-4 Credit(s),,,,,,,,Special topics in an identified area of life science not covered by existing course. Students may repeat the course for credits if the topics studied are different. Graded letter grade or P/F subject to different offerings.
lifs4060,Immunobiology,3 Credit(s),LIFS 2040/2210@ and LIFS 3140,,,,,,,Cellular@ biochemical and genetic basis of immunity; cells in immune response@ antigens and antigen recognition; antibodies and the generation of diversity; major histocompatibility complex; cell mediated immune response; regulation of immune response; autoimmunity@ tissue transplantation and rejection.
lifs4090,Developmental Biology,3 Credit(s),LIFS 2040,,,,,,,Processes of cellular and tissue differentiation@ early and late embryonic development spanning from molecular@ cellular@ organ to organismal levels; reproduction@ fertilization@ gastrulation@ neurulation@ axis formation@ body patterning@ cellular communication@ short and long range signaling@ sex determination@ aging@ environmental influence and evolutionary significance of different regulatory mechanisms.
lifs4140,Cancer Biology,3 Credit(s),LIFS 3020 OR LIFS 3140,,,,,,,Fundamentals in the epidemiology@ etiology and treatment of cancers; basic mechanisms of carcinogenesis. For LIFS/BIBU students in their fourth year of study.
lifs4150,Plant Biotechnology,3 Credit(s),LIFS 2040,,,,,,,Current status and future potential of Biotechnology@ with emphasis on the fundamentals of plant molecular biology and biotechnology.  Using examples of marketable products from food industry@ Traditional Chinese Medicine (TCM) and agricultural fields.  The role of basic research in the development and production biotechnology products will be described.
lifs4190,Cellular Signaling,3 Credit(s),LIFS 3020,,,,,,,Recent advances in the study of the molecular mechanisms of cell function@ with an emphasis on the structure and function of signaling components that control cell growth@ differentiation@ and integrated responses in eukaryotic cells.
lifs4200,Concepts and Issues in Contemporary Biotechnology,3 Credit(s),CENG 1600 OR LIFS 2040,,,,,,,This course will survey the methods and applications of biotechnology@ in the aspect related to animals@ microbes@ agriculture@ human health and environment. The consequences of developments in this area will be examined@ with emphasis on the aroused great public interest and the increasing demand for the informed debate. For BIOT and BIBU students only.
lifs4320,Data Science for Biology and Medicine,3 Credit(s),(COMP 1021 OR COMP 1022P OR COMP 1022Q (prior to 2020-21) OR COMP 2011) AND (ISOM 2500 OR LIFS 3150 OR MATH 2411) AND (LIFS 3140),,,BIEN 3320,,LIFS 3320,,This is a course for the application of data science in biology and medicine. The course will introduce the fundamental principles on data science@ the technologies and implementations of data mining@ as well as the modeling of several practical questions in biomedicine. The topics include introduction to biomedical data@ data visualization@ regression methods and classification methods.
lifs4360,Aquaculture Biotechnology,3 Credit(s),LIFS 2040 OR LIFS 2060,,,,,,,Overview of aquaculture in relation to food production and biotechnology@ including problems and prospects. Examples of aquacultured aquatic species and aquaculture biotechnology enterprises. Aquaculture biology and practices: larval rearing@ nutritional practices and feeds@ reproductive control@ application of genetics and genetic manipulations.
lifs4370,Human Genetics and Personalized Medicine,3 Credit(s),LIFS 2210 OR LIFS 3140,,,,,,,Many variations in the human population such as hair thickness@ tolerance to milk in adults@ high blood cholesterol and susceptibility to certain types of cancer can be determined by genetic factors. This course will cover the principles and up to date technologies for the discovery and analysis of human genetic variation. The application of basic scientific knowledge in a clinical setting will be discussed.
lifs4380,Pharmacology and Toxicology,3 Credit(s),LIFS 2040,,,,,,,Fundamental concepts of drug action and toxicity; clinically useful agents in central and peripheral disorders; toxicology of drugs and agents that are hazardous to living organisms.
lifs4540,Structure and Function of Proteins,3 Credit(s),LIFS 2210,,,,,,,Determination of protein sequences and three-dimensional structures; relationship between structure and function; principles of protein design and engineering; molecular@ biochemical and genetic approaches to study protein function and regulation.
lifs4550,Biochemistry of Nutrition,3 Credit(s),,,,,,,,The biochemistry of major food ingredients including proteins@ oil@ carbohydrates@ vitamins and minerals; functional and nutritional properties will be emphasized.
lifs4620,Advanced Biological Chemistry,3 Credit(s),LIFS 2040 OR LIFS 2210,,,,,,,Advanced studies of biological macromolecules; functional genomics and proteomics; laboratory techniques in modern biochemistry; milestone discoveries in biochemistry.
lifs4630,Advanced Topics in Biotechnology,3 Credit(s),LIFS 2040,,,,,,,Principles and roles of various disciplines in biotechnology@ including manipulation of various cell types@ gene expression@ immunochemistry@ protein engineering@ downstream processing@ cell and enzyme immobilization@ and fermentation; case studies in the development and applications of biotechnology.
lifs4760,Biochemistry of Diseases,3 Credit(s),LIFS 1901 OR LIFS 1902 OR LIFS 2040 OR LIFS 2210,,,,,,,This course covers the clinical manifestations@ physiology@ pathophysiology and treatment of common human diseases@ with focus on the underlying biochemical basis of the diseases and treatment.
lifs4800,Epigenetics and Chromosome Biology,3 Credit(s),LIFS 2210,,,,,,,Chromosome biology and epigenetics is an important field highly relevant to human health. This course will cover recent advances in the fields of epigenetics and chromosome biology.
lifs4820,Entrepreneurship in Biotechnology,3 Credit(s),,,,,,,,Students will be guided to understand the complexities of biotechnology entrepreneurship with focus on convergence of scientific@ technological@ regulatory and commercial factors. The course will take a case study approach by interaction with guest speakers who have experience in starting and managing biotechnology companies. Site visits to local company with specialty product development will also be arranged. For BIOT students in their fourth year of study and students with instructor#s consent only.
lifs4910,Independent Study,1-4 Credit(s),,,,,,,,The course will cover review topics restricted to life sciences. Enrolled students will conduct research project or literature review exercise on a mutually agreed topic under the supervision of a faculty member. For third year LIFS students and visiting interns only. Approval of the course instructor is needed for students to enroll in this course. Graded P or F.
lifs4950,Neurochemistry,3 Credit(s),LIFS 2040,,,,,,,Introduction to the molecular understanding of brain function@ building upon the basis of biochemistry and biology.  Four specific themes are covered: (i) structural neurochemistry and neural membranes; (ii) synapses@ transmitters and receptors; (iii) cellular and (iv) medical and behavioral neurochemistry.
lifs4960,Biological Science Capstone Project,3 Credit(s),,,,,,,,Under the supervision of a faculty member@ students will undertake a project@ which may involve investigation on topics in an area of Biological Science. The project can be delivered through the format of literature review@ research@ or practical study. Students are required to submit a written report that documents the project work and learning experiences. For BISC students only. Approval of the course supervisor is needed for students to enroll in this course.
lifs4961,Biochemistry and Cell Biology Capstone Project,3 Credit(s),,,,,,,,Under the supervision of a faculty member@ students will undertake a project@ which may involve investigation on topics in the discipline of Biochemistry and Cell Biology. The project can be delivered through the format of literature review@ research@ or practical study. Students are required to submit a written report that documents the project work and learning experiences. For BCB students only. Approval of the course supervisor is needed for enrollment in the course.
lifs4963,Biotechnology Capstone Project,3 Credit(s),,,,,,,,Under the supervision of a faculty member@ students will undertake a project@ which may involve investigation on topics relevant to biotechnology industry and business. The project can be delivered through the format of literature review@ research@ or practical study. Students are required to submit a written report that documents the project work and learning experiences. For BIOT students only. Approval of the course supervisor is needed for enrollment in the course.
lifs4970,Biological Science Project Research I,3 Credit(s),,,,,,,,Project research in one of the Life Science research laboratories under the supervision of a faculty member; report. Students who select to register in LIFS 4970 must also register in LIFS 4980. Approval of the course instructor is needed for students to enroll in this course.
lifs4971,Biochemistry and Cell Biology Project Research I,3 Credit(s),,,,,,,,A research project conducted under faculty supervision. Course to include background research@ design of experiments and analysis of data. Approval by a faculty supervisor is required to enroll in the course.
lifs4972,Biomedical Sciences Research Project I,3 Credit(s),,LIFS 4971@ LIFS 4970@ CHEM 4680,,,,,,A research project conducted either in the Division of Life Science or the Chemistry department under the supervision of a faculty member. This course is for MBMS students only. Students are expected to also register for LIFS 4982. Approval of the course instructor is needed for students to enroll in this course.
lifs4973,Biotechnology Project Research I,3 Credit(s),LIFS 3110,,,,,,,Students will undertake a research project of their choice in an area of biotechnology under faculty supervision: design of experiments@ analysis of data@ submission of a written report. Approval of the course instructor is needed for students to enroll in this course. For BIOT students only.
lifs4980,Biological Science Project Research II,4 Credit(s),LIFS 4970,,,,,,,Project research in one of the Life Science research laboratories under the supervision of a faculty member; report; poster presentation. Approval of the course instructor is needed for students to enroll in this course.
lifs4981,Biochemistry and Cell Biology Project Research II,4 Credit(s),LIFS 4971 OR SCIE 4500,,,,,,,Continuation of research project started in LIFS 4971 and to be conducted under faculty supervisor. To include design of experiments@ analysis of data and to be completed with poster presentation and written report.
lifs4982,Biomedical Sciences Research Project II,3 Credit(s),LIFS 4972,CHEM 4688@ LIFS 4980@ LIFS 4981,,,,,,A research project which may be conducted either in the Division of Life Science or the Chemistry department under the supervision of a faculty member: design of experiments@ analysis of data@ submission of a written report and seminar or poster presentation. This course is for MBMS students only. Approval of the course instructor is needed for students to enroll in this course.
lifs4983,Biotechnology Project Research II,4 Credit(s),LIFS 4973 OR SCIE 4500,,,,,,,Continuation of LIFS 4973. Students will undertake a research project of their choice in an area of biotechnology under faculty supervision: design of experiments@ analysis of data@ submission of a written report and poster presentation of research results. Approval of the course instructor is needed for students to enroll in this course. For BIOT students only.
mark2120,Marketing Management,3 Credit(s),,,,,,,,Introduction to marketing from the perspective of the decision-maker; controllable variables (product@ price@ promotion and distribution)@ uncontrollable variables (competition@ law@ society@ technology@ and economy)@ consumer behavior and marketing research.
mark3220,Marketing Research,4 Credit(s),MARK 2120,,,,,,,Basic research tools and procedures used in marketing research@ and strategic uses of marketing research information in managerial decision making.
mark3410,Promotion and Advertising Management,4 Credit(s),MARK 2120,,,,,,,Major aspects of promotion@ with emphasis on advertising: setting of advertising objectives@ strategies@ tactics@ choice of media@ budget determination and measuring advertising effectiveness.
mark3420,Consumer Behavior,4 Credit(s),MARK 2120,,,,,,,Psychological concepts such as perception@ learning and motivation@ sociological concepts such as reference groups@ family and culture and theories of purchase decision processes underlying consumer buying behavior.
mark3430,Global Marketing,4 Credit(s),MARK 2120,,,,[BLD] Blended learning,,,Understanding the formulation of international/multinational marketing strategy; factors influencing international trade@ assessment of market potential@ threats and opportunities in the international market environment@ global marketing activities.
mark3460,Retailing,4 Credit(s),MARK 2120,,,,,,,This course introduces the basic concept of retailing and its application in various retailing context. It will cover the major blocks of retailing@ such as site-selection@ display analysis@ pricing and advertising strategies.
mark3470,Services Marketing,4 Credit(s),MARK 2120,ISOM 3740,,,,,,The development of marketing strategy for a variety of service businesses including: the traditional marketing mix (4 P#s) and the management of the service encounter@ i.e.@ the interface between the service firm and the consumer.
mark3480,Pricing Strategy,4 Credit(s),MARK 2120,,,,,,,This course is designed to deepen understanding of pricing issues which marketing managers may face under some degree of market power.  The course will develop basic pricing theories and concepts from economics and marketing and present managerial implications for decision making.
mark3510,Business to Business Marketing,4 Credit(s),MARK 2120,,,,,,,The fundamental character of business markets and the decision-making nature of organizational customers; different approaches to business marketing@ as typified in the relationships between buyers and sellers@ and built around the concept of value; current trends changing the face of business-to-business marketing; critical analysis and problem-solving with respect to business market management.
mark3520,Competitive Positioning,4 Credit(s),MARK 2120,,MARK 3220 AND MARK 3420,,[BLD] Blended learning,,,Analysis of the environment and competitive market space; value analysis@ creation@ and development of value proposition; strategic options for the creation of a sustainable competitive advantage; attack@ counter-attack@ and defensive marketing strategies; direct-competitive marketing simulation used as a medium for exposure to the competitive nature of the marketing environment.
mark3610,Digital Marketing,4 Credit(s),MARK 2120,,,,,,,Digital Marketing has reshaped the consumer landscape@ and it is offering business new challenges and opportunities. In this course@ students will learn important concepts related to digital marketing@ factors that facilitate effective digital marketing initiative@ and a consumer-centric approach to develop marketing plans. Students will also have hands-on experiences with web analytics and other real-life examples.
mark3620,Marketing Analytics,4 Credit(s),MARK 2120 AND ISOM 2500,,,,,MARK 4290I,,This course develops the foundation and integrated framework for understanding marketing analytics. It introduces major applications of data analytics in marketing@ including customer analytics@ product analytics@ pricing analytics@ and advertising analytics.
mark4210,Strategic Marketing,4 Credit(s),MARK 2120@ MARK 3220 and MARK 3420,,,,,,,Developing a comprehensive and integrated framework for directing and managing the marketing functions of a company; methods to analyze marketing opportunities@ assess competitive advantages and forecast market changes.
mark4290,Special Topics,0-4 Credit(s),MARK 2120,,,,,,,Selected topics in current marketing thought and practices; topics vary from semester to semester.
mark4450,Brand Management,4 Credit(s),MARK 2120,,,,,,,This course is designed to help students develop a practical understanding of the tools@ rules@ and strategies of brand management.  By the end of the semester@ students will be able to assess critical aspects of a branding strategy such as: how to introduce and name new products; how to interpret brand performance; and how to manage a brand over time@ product categories@ and geographical markets.  MARK 4450 is intended for individuals considering careers at senior levels of corporate management or as consultants in strategy firms@ ad agencies@ and market research companies.
mark4980,Independent Study,2-4 Credit(s),,,,,,,,Directed study of selected problems in marketing not covered in other courses. May be repeated for credits if different topics are taken.
math1003,Calculus and Linear Algebra,3 Credit(s),,Level 5* or above in HKDSE Mathematics Extended Module M1 or M2; grade B or above in HKCEE Additional Mathematics@ a passing grade in AS Mathematics and Statistics@ AL/AS Applied Mathematics@ or in AL Pure Mathematics; MATH 1012; MATH 1013; MATH 1014; MATH 1018 (prior to 2013-14); MATH 1020; MATH 1023; MATH 1024,,,,,,This course teaches basic application techniques in single-variable calculus and linear algebra. Key topics include: systems of linear equations and matrices@ functions and graphing@ derivatives and optimization@ integration and applications.
math1012,Calculus IA,4 Credit(s),,Level 3 or above in HKDSE Mathematics Extended Module M1 or M2; AL Pure Mathematics; AL Applied Mathematics; MATH 1003@ MATH 1013@ MATH 1014@ MATH 1020@ MATH 1023@ MATH 1024,,MATH 1013,,,,This is an introductory course in one-variable calculus@ the first in the Calculus I and II sequence@ designed for students that have not taken HKDSE Mathematics Extended Module M1 or M2. Topics include functions and their limits@ continuity@ derivatives and rules of differentiation@ applications of derivatives@ and basic integral calculus.
math1013,Calculus IB,3 Credit(s),Level 3 or above in HKDSE Mathematics Extended Module M1/M2,AL Pure Mathematics; AL Applied Mathematics; MATH 1012@ MATH 1014@ MATH 1020@ MATH 1023@ MATH 1024,,MATH 1012,,,,This is an introductory course in one-variable calculus@ the first in the Calculus I and II sequence@ designed for students that have taken HKDSE Mathematics Extended Module M1/M2. Topics include functions and their limits@ continuity@ derivatives and rules of differentiation@ applications of derivatives@ and basic integral calculus.
math1014,Calculus II,3 Credit(s),MATH 1012 OR MATH 1013 OR MATH 1023 OR grade A- or above in MATH 1003,AL Pure Mathematics; AL Applied Mathematics; MATH 1020@ MATH 1024,,,,,,This is an introductory course in one-variable calculus@ the second in the MATH 1013 – MATH 1014 sequence. Topics include applications of definite integral@ improper integrals@ vectors@ curves and parametric equations@ modeling with differential equations@ solving simple differential equations@ infinite sequences and series@ power series and Taylor series.
math1020,Accelerated Calculus,4 Credit(s),Level 5* or 5** in HKDSE Mathematics Extended Module M2,A passing grade in AL Applied Mathematics / AL Pure Mathematics; MATH 1013@ MATH 1014@ MATH 1023@ MATH 1024,,,,,,A concise introduction to one-variable calculus. Topics include functions@ limits@ derivatives@ definite and indefinite integrals and their applications@ infinite sequences and series@ Taylor series@ first order differential equations.
math1023,Honors Calculus I,3 Credit(s),Level 5 or above in HKDSE Mathematics Extended Module M2,AL Pure Mathematics; AL Applied Mathematics; MATH 1012@ MATH 1013@ MATH 1014@ MATH 1020,,,,,,This is the first in the sequence MATH 1023 – MATH 1024 of honors courses in one-variable calculus@ with particular emphasis on rigorous mathematical reasoning. Topics include inequalities@ functions and their graphs@ vectors@ limit and continuity@ extreme value theorem@ intermediate value theorem derivatives and differentiation rules@ mean value theorem@ l#Hôpital#s rule@ Taylor expansion@ and applications of derivatives.
math1024,Honors Calculus II,3 Credit(s),MATH 1012 OR MATH 1013 OR MATH 1023,AL Pure Mathematics; AL Applied Mathematics; MATH 1014@ MATH 1020,,,,,,This is the second in the sequence MATH 1023 - MATH 1024 of honors courses in one-variable calculus@ with particular emphasis on rigorous mathematical reasoning. Topics include integral calculus@ techniques of integration@ improper integrals@ applications of integrals@ infinite series. Some rigorous theoretical results on integration and infinite series will be discussed.
math1701,Introductory Topics in Mathematical Sciences,1-4 Credit(s),,,,,,,,This is a general science course that introduces students to selected disciplines or topics of high popular interest. The crucial roles that mathematics play are emphasized. Materials are chosen to enrich and enhance students# appreciation of science and mathematics.
math2001,Foundation of Mathematics,2 Credit(s),Level 5 or above in HKDSE Mathematics Extended Module M2 OR MATH 1012 OR MATH 1013 OR MATH 1020 OR MATH 1023,,,,,,,This course covers a number of foundational concepts and rigorous reasoning in mathematics which are essential for intermediate- and upper levels mathematics courses especially in the field of pure mathematics. The main purpose of the course is to enhance students# conceptual and logical understanding of mathematics@ and strengthen students# ability on writing mathematical proofs. Topics include mathematical induction@ set notations and logic@ complex numbers@ inequalities@ construction of real numbers@ elementary number theory@ etc.
math2011,Introduction to Multivariable Calculus,3 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014; OR MATH 1020; OR MATH 1024,MATH 2023,,,,,,Differentiation in several variables@ with applications in approximation@ maximum and minimum and geometry. Integration in several variables@ vector analysis.
math2023,Multivariable Calculus,4 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2011,,,,,,Sequences@ series@ gradients@ chain rule. Extrema@ Lagrange multipliers@ line integrals@ multiple integrals. Green#s theorem@ Stoke#s theorem@ divergence theorem@ change of variables.
math2033,Mathematical Analysis,4 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2043,,,,,,Sets and functions@ real numbers@ limits of sequences and series@ limits of functions@ continuous functions@ differentiation@ Riemann integration@ additional topics.
math2043,Honors Mathematical Analysis,4 Credit(s),Grade A in AL Pure Mathematics; or grade A- or above in MATH 1014/MATH 1020/MATH 1024,MATH 2033,,,,,,The MATH 2043 and 3043 is a rigorous sequence in analysis on the line and higher dimensional Euclidean spaces. Limit@ continuity@ least upper bound axiom@ open and closed sets@ compactness@ connectedness@ differentiation@ uniform convergence@ and generalization to higher dimensions. Enrollment in the course requires approval of the course instructor.
math2111,Matrix Algebra and Applications,3 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2121@ MATH 2131@ MATH 2350,,,,,,Systems of linear equations; vector spaces; linear transformations; matrix representation of linear transformations; linear operators@ eigenvalues and eigenvectors; similarity invariants and canonical forms.
math2121,Linear Algebra,4 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2111@ MATH 2131@ MATH 2350,,,,,,Vector space@ matrices and system of linear equations@ linear mappings and matrix forms@ inner product@ orthogonality@ eigenvalues and eigenvectors@ symmetric matrix.
math2131,Honors in Linear and Abstract Algebra I,4 Credit(s),Grade A in AL Pure Mathematics; or grade A- or above in MATH 1014/MATH 1020/MATH 1024,MATH 2111@ MATH 2121@ MATH 2350,,,,,,The MATH 2131 and 3131  is a sequence of rigorous introduction to linear algebra and abstract algebra. Vector spaces over the fields of real numbers and complex numbers@ linear transformations@ geometry@ groups@ bases@ abstract fields@ rings@ change of bases@ spectral theorems.
math2343,Discrete Structures,4 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; or MATH 1014; or MATH 1020; or MATH 1024,COMP 2711@ COMP 2711H,,,,,,Logic: propositions@ axiomatization of propositional calculus@ deduction theorem@ completeness and soundness. Combinatorics: permutations and combinations@ generating functions. Set theory: basic operations on sets@ relations@ countable and uncountable sets.  Third year and fourth year students require instructor#s approval to take the course. 
math2350,Applied Linear Algebra and Differential Equations,3 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2111@ MATH 2121@ MATH 2131@ MATH 2351@ MATH 2352@ PHYS 2124,,,,,,This course provides a concise introduction to linear algebra and differential equations@ with exposure to the use of numerical computing software like MATLAB. Topics include systems of linear equations@ matrix algebra and determinants@ language of vector spaces and inner product spaces@ eigenvalue and eigenvector@ first order ODEs@ linear second order ODEs and oscillations@ and homogeneous system of first order ODEs with constant coefficients.
math2351,Introduction to Differential Equations,3 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,MATH 2350@ MATH 2352@ PHYS 2124,,,,,,First order equations and applications@ second order equations@ Laplace transform method@ series solutions@ system of linear equations@ nonlinear equations and linear stability analysis@ introduction to partial differentiation and partial differential equations@ separation of variables@ and Fourier series.
math2352,Differential Equations,4 Credit(s),MATH 2111 OR MATH 2121 OR MATH 2131,MATH 2350@ MATH 2351@ PHYS 2124,,,,,,First and second order differential equations@ initial value problems@ series solutions@ Laplace transform@ numerical methods@ boundary value problems@ eigenvalues and eigenfunctions@ Sturm-Liouville theory.
math2411,Applied Statistics,4 Credit(s),A passing grade in AL Pure Mathematics / AL Applied Mathematics OR MATH 1014 OR MATH 1020 OR  MATH 1024,IEDA 2510 (prior to 2018-19)@ IEDA 2540@ ISOM 2500@ LIFS 3150,,,,,,A systematic introduction to statistical inference@ including the necessary probabilistic background@ point and interval estimation@ hypothesis testing.
math2421,Probability,4 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,IEDA 2510 (prior to 2018-19)@ IEDA 2520@ MATH 2431@ ELEC 2600@ ELEC 2600H@ ISOM 3540,MATH 2011 OR MATH 2023,,,,,Sample spaces@ conditional probability@ random variables@ independence@ discrete and continuous distributions@ expectation@ correlation@ moment generating function@ distributions of function of random variables@ law of large numbers and limit theorems.
math2431,Honors Probability,4 Credit(s),(Grade A- or above in MATH 1014) OR MATH 1020 OR MATH 1024,ELEC 2600@ ELEC 2600H@ ISOM 3540@ MATH 2421,MATH 2011 OR MATH 2023,,,,,This is an honors undergraduate course in probability theory. Topics include probability spaces and random variables@ distributions (absolutely continuous and singular distributions) and probability densities@ moment inequalities@ moment generating functions@ conditional expectations@ independence@ conditional distributions@ convergence concepts (weak@ strong and in distribution)@ law of large numbers (weak and strong) and central limit theorem. Some rigorous theoretical results in probability will be discussed.
math2511,Fundamentals of Actuarial Mathematics,3 Credit(s),MATH 1003 OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,,This course covers the fundamental concepts of actuarial financial mathematics and how these concepts are applied in calculating present and accumulated values for various streams of cash flows. The topics covered include interest rates@ present value@ annuities valuation@ loan repayment@ bond and portfolio yield@ bond valuation@ rate of return@ yield curve@ term structure of interest rates@ duration and convexity of general cash flows and portfolios@ immunization@ stock valuation@ capital budgeting@ dynamic cash flow processes@ and asset and liability management.
math2731,Mathematical Problem Solving,3 Credit(s),A passing grade in AL Pure Mathematics/AL Applied Mathematics; OR MATH 1014 OR MATH 1020 OR MATH 1024,,,,,,,Discussions on problem solving techniques. Basics materials in combinatorics@ number theory@ geometry and mathematical games.
math2741,Geometric Constructions,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024 OR AL Applied Mathematics / AL Pure Mathematics,,,,[BLD] Blended learning,,,This course is intended for students with some mathematical maturity. This course teaches geometric constructions using tools like straightedge and compass. Moreover@ geometric constructions will be associated with algebraic fields of numbers and hence related to various famous constructability problems. Topics covered by the course include Euclidean constructions@ compass-only constructions@ straightedge-only constructions@ constructability@ three classical problems and regular polygons.
math3033,Real Analysis,4 Credit(s),(MATH 2011 / MATH 2023) AND (MATH 2033 / MATH 2043) AND (MATH 2111 / MATH 2121 / MATH 2131 / MATH 2350),MATH 3043,,,,,,Functions of several variables@ implicit and inverse function theorem@ uniform convergence measure and integral on the real line.
math3043,Honors Real Analysis,4 Credit(s),Grade A- or above in MATH 2043,MATH 3033,,,,,,The MATH 2043 and 3043 is a rigorous sequence in analysis on the line and higher dimensional Euclidean spaces. Differentiation and integration in higher dimensions@ implicit function and inverse function theorem@ Stokes theorem@ and Lebesgue measure.
math3121,Abstract Algebra,3 Credit(s),MATH 2111/MATH 2121/MATH 2131/MATH 2350,MATH 3131,,,,,,Polynomials; Jordan canonical form@ minimal polynomials@ rational canonical form; equivalence relation; group@ coset@ group action; introduction to rings and fields.
math3131,Honors in Linear and Abstract Algebra II,4 Credit(s),Grade B- or above in MATH 2131,,,,,,,The MATH 2131 and 3131 is a sequence of highly rigorous introduction to linear algebra and abstract algebra. Groups@ rings@ homomorphisms@ quotients@ group actions@ polynomial rings@ Chinese remainder theorem@ field extensions.
